"","edad_gama","quintil","Sexo","Fecha","ingresos","trend","base","perc_change2010"
"9114","35-50","iv","hombre",Oct 2014,1519.60596098943,1568.97718181521,1194.37529149511,31.3638345491197
"9116","35-50","iv","hombre",Nov 2014,1544.23552247622,1572.97635681089,1194.37529149511,31.6986685853023
"9118","35-50","iv","hombre",Dec 2014,1692.8045020661,1576.47625290594,1194.37529149511,31.9917001073013
"9120","35-50","iv","hombre",Jan 2015,1603.69904945868,1580.9922901987,1194.37529149511,32.3698088412081
"9122","35-50","iv","hombre",Feb 2015,1561.61820454402,1585.18909800226,1194.37529149511,32.7211898379045
"9124","35-50","iv","hombre",Mar 2015,1584.55566707024,1587.40965717138,1194.37529149511,32.9071078809968
"9126","35-50","iv","hombre",Apr 2015,1588.60121707439,1589.7043182238,1194.37529149511,33.099230161888
"9128","35-50","iv","hombre",May 2015,1571.21850443318,1592.32182961193,1194.37529149511,33.3183833381777
"9130","35-50","iv","hombre",Jun 2015,1553.32787501672,1594.48506086858,1194.37529149511,33.4995015572208
"9132","35-50","iv","hombre",Jul 2015,1605.60304385867,1595.99084613842,1194.37529149511,33.6255745998033
"9134","35-50","iv","hombre",Aug 2015,1569.42416705579,1597.56456998254,1194.37529149511,33.7573358523448
"9136","35-50","iv","hombre",Sep 2015,1664.1172268626,1599.46795997174,1194.37529149511,33.9166986592241
"9138","35-50","iv","hombre",Oct 2015,1554.88771654862,1600.70614173057,1194.37529149511,34.0203663897649
"9140","35-50","iv","hombre",Nov 2015,1571.77404023215,1601.11052721659,1194.37529149511,34.0542238790224
"9142","35-50","iv","hombre",Dec 2015,1717.18353446971,1601.5899129295,1194.37529149511,34.094360820596
"9144","35-50","iv","hombre",Jan 2016,1615.45886353126,1601.76648041049,1194.37529149511,34.1091440702366
"9146","35-50","iv","hombre",Feb 2016,1587.62776273032,1602.33176297191,1194.37529149511,34.1564727922426
"9148","35-50","iv","hombre",Mar 2016,1604.22746862474,1604.1627849893,1194.37529149511,34.3097765344101
"9150","35-50","iv","hombre",Apr 2016,1598.64577773186,1606.40479072072,1194.37529149511,34.4974902076073
"9152","35-50","iv","hombre",May 2016,1570.87919544002,1609.50905422572,1194.37529149511,34.757397083369
"9154","35-50","iv","hombre",Jun 2016,1565.17244111988,1614.33041992329,1194.37529149511,35.1610696753846
"9156","35-50","iv","hombre",Jul 2016,1597.99609729922,1619.21685440285,1194.37529149511,35.5701902017682
"9158","35-50","iv","hombre",Aug 2016,1590.5978950893,1622.4083389617,1194.37529149511,35.8373997280849
"9160","35-50","iv","hombre",Sep 2016,1686.88802724638,1624.98985497474,1194.37529149511,36.0535391636063
"9162","35-50","iv","hombre",Oct 2016,1585.92505371906,1628.70746902117,1194.37529149511,36.3647992903772
"9164","35-50","iv","hombre",Nov 2016,1615.23902718159,1634.23478205722,1194.37529149511,36.8275778722356
"9166","35-50","iv","hombre",Dec 2016,1789.43132426199,1640.19676760808,1194.37529149511,37.3267497483885
"9168","35-50","iv","hombre",Jan 2017,1660.48550124846,1645.4457287576,1194.37529149511,37.7662231021071
"9170","35-50","iv","hombre",Feb 2017,1619.19675442544,1650.15610233488,1194.37529149511,38.1606027925463
"9172","35-50","iv","hombre",Mar 2017,1634.61486124269,1655.61780215304,1194.37529149511,38.6178878567175
"9174","35-50","iv","hombre",Apr 2017,1657.48112222819,1661.27985574282,1194.37529149511,39.091947696208
"9176","35-50","iv","hombre",May 2017,1644.69936380884,1666.57176960557,1194.37529149511,39.5350172992416
"9178","35-50","iv","hombre",Jun 2017,1634.43992597175,1670.2502245178,1194.37529149511,39.8429987970519
"9180","35-50","iv","hombre",Jul 2017,1654.70368003582,1672.52677111765,1194.37529149511,40.0336044313165
"9182","35-50","iv","hombre",Aug 2017,1646.93927820743,1675.65445025767,1194.37529149511,40.2954717993279
"9184","35-50","iv","hombre",Sep 2017,1761.62743976408,1679.90460411579,1194.37529149511,40.6513192359236
"9186","35-50","iv","hombre",Oct 2017,1647.07492735599,1683.63248488274,1194.37529149511,40.9634389518533
"9188","35-50","iv","hombre",Nov 2017,1681.09508625084,1686.20662158807,1194.37529149511,41.1789605490986
"9190","35-50","iv","hombre",Dec 2017,1811.85818308608,1688.52614475569,1194.37529149511,41.3731644299174
"9192","35-50","iv","hombre",Jan 2018,1692.69576082089,1691.08894555511,1194.37529149511,41.587736919625
"9194","35-50","iv","hombre",Feb 2018,1662.0507942134,1693.54673865165,1194.37529149511,41.7935175577579
"9196","35-50","iv","hombre",Mar 2018,1693.76451404958,1695.80407968815,1194.37529149511,41.9825151912973
"9198","35-50","iv","hombre",Apr 2018,1687.80060782807,1698.35702013358,1194.37529149511,42.1962621152007
"9200","35-50","iv","hombre",May 2018,1676.15915913696,1700.68440831354,1194.37529149511,42.3911245002929
"9202","35-50","iv","hombre",Jun 2018,1658.64868666661,1704.1362442055,1194.37529149511,42.6801321444171
"9204","35-50","iv","hombre",Jul 2018,1692.00213852691,1708.33200434191,1194.37529149511,43.0314254243682
"9206","35-50","iv","hombre",Aug 2018,1668.62785403331,1711.39276081017,1194.37529149511,43.2876896396485
"9208","35-50","iv","hombre",Sep 2018,1794.1150488143,1714.11806299846,1194.37529149511,43.5158676844976
"9210","35-50","iv","hombre",Oct 2018,1675.85788899614,1717.46093422871,1194.37529149511,43.7957521775926
"9212","35-50","iv","hombre",Nov 2018,1708.16944092971,1721.09669466306,1194.37529149511,44.1001590470444
"9214","35-50","iv","hombre",Dec 2018,1867.62788981405,1724.3692125776,1194.37529149511,44.3741531540759
"9216","35-50","iv","hombre",Jan 2019,1737.62429736697,1727.19270422397,1194.37529149511,44.610552187653
"9218","35-50","iv","hombre",Feb 2019,1690.58041290537,1729.79251574554,1194.37529149511,44.8282234288513
"9220","35-50","iv","hombre",Mar 2019,1730.64214787664,1732.49862041871,1194.37529149511,45.0547941468189
"9222","35-50","iv","hombre",Apr 2019,1731.15188352709,1734.75998155467,1194.37529149511,45.2441283663111
"9224","35-50","iv","hombre",May 2019,1720.06613386227,1736.56949592787,1194.37529149511,45.395631364246
"9226","35-50","iv","hombre",Jun 2019,1693.28214189018,1738.3403420358,1194.37529149511,45.5438968316022
"9228","35-50","iv","hombre",Jul 2019,1725.1324828164,1739.68050170811,1194.37529149511,45.6561027422448
"9230","35-50","iv","hombre",Aug 2019,1697.89298626135,1740.80065991434,1194.37529149511,45.7498888590718
"9232","35-50","iv","hombre",Sep 2019,1829.79642874229,1741.96236142334,1194.37529149511,45.8471532212257
"9234","35-50","iv","hombre",Oct 2019,1694.44917633119,1741.96357869826,1194.37529149511,45.847255138515
"9236","35-50","iv","hombre",Nov 2019,1733.00649855167,1741.96003339504,1194.37529149511,45.8469583052463
"9238","35-50","iv","hombre",Dec 2019,1885.29113878221,1745.31634877044,1194.37529149511,46.1279684198476
"9240","35-50","iv","hombre",Jan 2020,1752.12488053431,1750.53068293687,1194.37529149511,46.564542602482
"9242","35-50","iv","hombre",Feb 2020,1702.96362668766,1755.29999382022,1194.37529149511,46.9638568646995
"9244","35-50","iv","hombre",Mar 2020,1746.13977031026,1758.97134252557,1194.37529149511,47.2712433898143
"9246","35-50","iv","hombre",Apr 2020,1715.6834756916,1762.59328147268,1194.37529149511,47.5744930444997
"9248","35-50","iv","hombre",May 2020,1735.4494544205,1766.30361367154,1194.37529149511,47.8851434929205
"9250","35-50","iv","hombre",Jun 2020,1758.45039034156,1769.94422676703,1194.37529149511,48.1899566552006
"9252","35-50","iv","hombre",Jul 2020,1785.1082543594,1772.98131413859,1194.37529149511,48.4442391569553
"9254","35-50","iv","hombre",Aug 2020,1752.38067591856,1775.35001894006,1194.37529149511,48.6425608083103
"9256","35-50","iv","hombre",Sep 2020,1863.42110801365,1778.33486099338,1194.37529149511,48.8924690301711
"9258","35-50","iv","hombre",Oct 2020,1747.75103179038,1782.59339034596,1194.37529149511,49.2490177115532
"9260","35-50","iv","hombre",Nov 2020,1768.75261586506,1787.36081225224,1194.37529149511,49.6481738176973
"9262","35-50","iv","hombre",Dec 2020,1936.91973576076,1790.90636159908,1194.37529149511,49.9450276937016
"9264","35-50","iv","hombre",Jan 2021,1773.38638047307,1794.69207906938,1194.37529149511,50.2619898325922
"9266","35-50","iv","hombre",Feb 2021,1738.55104198414,1798.20088765342,1194.37529149511,50.5557675596623
"9268","35-50","iv","hombre",Mar 2021,1782.18856429347,1800.79711692852,1194.37529149511,50.77313887449
"9270","35-50","iv","hombre",Apr 2021,1781.83938617029,1803.10430936783,1194.37529149511,50.9663103554925
"9272","35-50","iv","hombre",May 2021,1783.71166969252,1805.36902654016,1194.37529149511,51.1559255617395
"9274","35-50","iv","hombre",Jun 2021,1795.28135939375,1808.25993240741,1194.37529149511,51.3979689033787
"9276","35-50","iv","hombre",Jul 2021,1839.1345045945,1812.46017112771,1194.37529149511,51.7496371562474
"9278","35-50","iv","hombre",Aug 2021,1782.56583170042,1817.21495358018,1194.37529149511,52.147735014293
"9280","35-50","iv","hombre",Sep 2021,1895.54545483421,1821.04885982125,1194.37529149511,52.4687317954869
"9282","35-50","iv","hombre",Oct 2021,1770.99930351324,1823.24808141317,1194.37529149511,52.6528633333362
"9284","35-50","iv","hombre",Nov 2021,1799.85755627816,1824.21072208375,1194.37529149511,52.7334611720084
"9286","35-50","iv","hombre",Dec 2021,1975.19653616161,1823.86486882091,1194.37529149511,52.7045043386495
"9288","35-50","iv","hombre",Jan 2022,1835.91530935932,1821.13481514833,1194.37529149511,52.4759284720834
