"","Fecha","quintil","ingresos","trend","base","perc_change"
"1235",Apr 2013,3,610.143774321813,625.040916982893,615.113409283463,1.61393127667217
"1237",Apr 2013,4,907.718384099074,928.581390819124,917.7147187891,1.18410131248217
"1239",Apr 2013,5,1860.16548721815,1919.33540294773,1921.91829528103,-0.13439137031195
"1241",May 2013,1,236.310028110055,239.479512880362,235.74477272491,1.58423031496469
"1243",May 2013,2,426.376654008638,436.126828429104,426.811935859282,2.18243488225527
"1245",May 2013,3,612.736249834748,628.163675772864,615.113409283463,2.12160331614351
"1247",May 2013,4,910.340269084823,931.922478797993,917.7147187891,1.54816738993129
"1249",May 2013,5,1858.2341346626,1919.2166459117,1921.91829528103,-0.14057045900258
"1251",Jun 2013,1,237.000110455593,240.625004317667,235.74477272491,2.0701335331206
"1253",Jun 2013,2,425.986748845997,438.209062449741,426.811935859282,2.67029237772208
"1255",Jun 2013,3,612.22269276239,631.053228643504,615.113409283463,2.59136268523383
"1257",Jun 2013,4,909.133858647434,935.449379234007,917.7147187891,1.93248076791301
"1259",Jun 2013,5,1864.28058841308,1919.50061027877,1921.91829528103,-0.125795410147843
"1261",Jul 2013,1,232.992778955284,241.82813538922,235.74477272491,2.58048676710588
"1263",Jul 2013,2,430.330540991738,440.302010335226,426.811935859282,3.1606600806008
"1265",Jul 2013,3,623.435609494185,634.049912976185,615.113409283463,3.07853859254686
"1267",Jul 2013,4,926.197536557604,939.154904824317,917.7147187891,2.33625827245171
"1269",Jul 2013,5,1916.12441464648,1919.47071732641,1921.91829528103,-0.127350780760448
"1271",Aug 2013,1,260.114320462967,243.297933224045,235.74477272491,3.20395672482173
"1273",Aug 2013,2,454.594785513974,442.6338754969,426.811935859282,3.70700496127502
"1275",Aug 2013,3,645.467510025247,637.200926630286,615.113409283463,3.59080407181383
"1277",Aug 2013,4,945.995973211057,942.923929737621,917.7147187891,2.74695506483581
"1279",Aug 2013,5,1923.84303344015,1920.55145141161,1921.91829528103,-0.0711187292808179
"1281",Sep 2013,1,258.649469504778,244.437980805692,235.74477272491,3.68755072712726
"1283",Sep 2013,2,473.161808534356,444.727941220479,426.811935859282,4.19763456828533
"1285",Sep 2013,3,691.710039514361,639.960222083939,615.113409283463,4.03938727809881
"1287",Sep 2013,4,1015.27158952344,946.168331556822,917.7147187891,3.10048560681966
"1289",Sep 2013,5,2034.37493672654,1922.78878154438,1921.91829528103,0.0452925738566052
"1291",Oct 2013,1,256.713128180605,245.149716432034,235.74477272491,3.98946012605718
"1293",Oct 2013,2,456.374327763826,446.517783722069,426.811935859282,4.61698612601219
"1295",Oct 2013,3,650.511070691634,642.169687386376,615.113409283463,4.39858369116527
"1297",Oct 2013,4,956.273640927093,948.467635836034,917.7147187891,3.3510323434184
"1299",Oct 2013,5,1944.9815704606,1924.11191357422,1921.91829528103,0.114136917192254
"1301",Nov 2013,1,253.379310158148,245.929788244699,235.74477272491,4.32035688514469
"1303",Nov 2013,2,455.280124078815,448.245574324247,426.811935859282,5.02179921979313
"1305",Nov 2013,3,652.904313744951,644.216687072361,615.113409283463,4.73136780139459
"1307",Nov 2013,4,964.781477586292,950.268458280645,917.7147187891,3.54726134658696
"1309",Nov 2013,5,1973.33120223764,1923.82159121067,1921.91829528103,0.0990310532093074
"1311",Dec 2013,1,255.307576452392,246.679039867977,235.74477272491,4.63818010328745
"1313",Dec 2013,2,473.697320367654,449.801782295465,426.811935859282,5.38641132186205
"1315",Dec 2013,3,712.303371528494,646.276258984977,615.113409283463,5.06619579921299
"1317",Dec 2013,4,1077.53620447005,952.444701038107,917.7147187891,3.7843985214525
"1319",Dec 2013,5,2182.27078403831,1923.64920796177,1921.91829528103,0.0900617203648788
"1321",Jan 2014,1,238.177896596352,248.216583402959,235.74477272491,5.29038694427485
"1323",Jan 2014,2,443.011806734581,451.869200098466,426.811935859282,5.87079744823385
"1325",Jan 2014,3,630.62299609705,648.523379805729,615.113409283463,5.43151393190818
"1327",Jan 2014,4,923.07782929654,955.059267485923,917.7147187891,4.06929821787078
"1329",Jan 2014,5,1846.6213161523,1924.15178615854,1921.91829528103,0.116211541510057
"1331",Feb 2014,1,244.971278159083,249.530125885222,235.74477272491,5.84757532520079
"1333",Feb 2014,2,444.533729522594,453.691635415964,426.811935859282,6.29778534720836
"1335",Feb 2014,3,625.333842598945,650.303813882588,615.113409283463,5.72096203204507
"1337",Feb 2014,4,912.656833772429,957.041402944182,917.7147187891,4.28528423375106
"1339",Feb 2014,5,1822.3463957925,1924.22694793756,1921.91829528103,0.120122310204197
"1341",Mar 2014,1,233.508670685521,249.780368982559,235.74477272491,5.95372533414666
"1343",Mar 2014,2,440.064906520256,454.536057558152,426.811935859282,6.49562942588626
"1345",Mar 2014,3,626.75583837282,651.248491344074,615.113409283463,5.87453980278281
"1347",Mar 2014,4,921.713374541093,958.305960989543,917.7147187891,4.42307847628315
"1349",Mar 2014,5,1861.10020992979,1923.52824481776,1921.91829528103,0.0837678449015357
"1351",Apr 2014,1,240.158722403699,250.008404554579,235.74477272491,6.0504551871074
"1353",Apr 2014,2,445.65645619384,454.964414895273,426.811935859282,6.59599150602773
"1355",Apr 2014,3,633.921653621556,651.540440638063,615.113409283463,5.92200248032863
"1357",Apr 2014,4,929.547700730041,958.860334019491,917.7147187891,4.48348646785147
"1359",Apr 2014,5,1863.50326556308,1921.27051418872,1921.91829528103,-0.0337049235600983
"1361",May 2014,1,244.058365733882,250.174639935629,235.74477272491,6.1209701678337
"1363",May 2014,2,446.132019638043,455.218516679962,426.811935859282,6.65552634171059
"1365",May 2014,3,638.086362998647,651.466011715965,615.113409283463,5.90990244788346
"1367",May 2014,4,931.730691124519,958.849004970488,917.7147187891,4.48225198301965
"1369",May 2014,5,1847.92861959251,1918.5837435799,1921.91829528103,-0.173501220594172
"1371",Jun 2014,1,247.23381179043,250.18423724222,235.74477272491,6.1250412259023
"1373",Jun 2014,2,443.580374525814,455.932058763512,426.811935859282,6.82270584715573
"1375",Jun 2014,3,636.302305501282,652.032747795408,615.113409283463,6.00203766569686
"1377",Jun 2014,4,939.973262786817,959.019051260046,917.7147187891,4.50078130221617
"1379",Jun 2014,5,1870.44890550953,1916.9476854617,1921.91829528103,-0.258627530188712
"1381",Jul 2014,1,259.660122460017,250.191696824175,235.74477272491,6.12820548777292
"1383",Jul 2014,2,462.35494258395,456.675387934593,426.811935859282,6.99686432507747
